Exercise Name,Muscle Group,Equipment Type,Level,Description,Primary Muscles,Secondary Muscles
Lateral Raise Machine,SHOULDER,Machine,Beginner,Raises the arms out to the sides against resistance to build shoulder width and improve deltoid isolation while maintaining controlled movement.,Deltoids,"Trapezius, rotator cuff"
Front Raise Dumbbell,SHOULDER,Dumbbell,Beginner,Lifts weight forward in front of the body to emphasize the front shoulder while minimizing momentum for better muscle activation.,Deltoids,"Trapezius, rotator cuff"
Front Raise Barbell,SHOULDER,Barbell,Advanced,Lifts weight forward in front of the body to emphasize the front shoulder while minimizing momentum for better muscle activation.,Deltoids,"Trapezius, rotator cuff"
Face Pull Cable,SHOULDER,Cable,Beginner,Pulls the cable toward the face with elbows high to strengthen rear shoulders and improve shoulder stability and posture.,Deltoids,"Trapezius, rotator cuff"
Front Raise Plate,SHOULDER,Mixed,Beginner,Lifts weight forward in front of the body to emphasize the front shoulder while minimizing momentum for better muscle activation.,Deltoids,"Trapezius, rotator cuff"
Dumbbell Lateral Raise,SHOULDER,Dumbbell,Intermediate,Raises the arms out to the sides against resistance to build shoulder width and improve deltoid isolation while maintaining controlled movement.,Deltoids,"Trapezius, rotator cuff"
Cable Lateral Raise,SHOULDER,Cable,Beginner,Raises the arms out to the sides against resistance to build shoulder width and improve deltoid isolation while maintaining controlled movement.,Deltoids,"Trapezius, rotator cuff"
Shoulder Press Machine,SHOULDER,Machine,Beginner,Presses weight overhead from shoulder level to build overall shoulder strength and upper-body pressing power.,Deltoids,"Trapezius, rotator cuff"
Dumbbell Shoulder Press,SHOULDER,Dumbbell,Advanced,Presses weight overhead from shoulder level to build overall shoulder strength and upper-body pressing power.,Deltoids,"Trapezius, rotator cuff"
Plate Shoulder Press,SHOULDER,Mixed,Intermediate,Presses weight overhead from shoulder level to build overall shoulder strength and upper-body pressing power.,Deltoids,"Trapezius, rotator cuff"
Barbell Overhead Press,SHOULDER,Barbell,Advanced,Performs a controlled resistance movement to strengthen the targeted muscle group and improve muscular coordination.,Deltoids,"Trapezius, rotator cuff"
Dumbbell Reverse Fly,SHOULDER,Dumbbell,Beginner,Performs a controlled resistance movement to strengthen the targeted muscle group and improve muscular coordination.,Deltoids,"Trapezius, rotator cuff"
Dumbbell Upright Row,SHOULDER,Dumbbell,Advanced,Pulls resistance toward the torso to build back thickness and improve upper-body pulling strength.,Deltoids,"Trapezius, rotator cuff"
Standing Shoulder Press,SHOULDER,Mixed,Intermediate,Presses weight overhead from shoulder level to build overall shoulder strength and upper-body pressing power.,Deltoids,"Trapezius, rotator cuff"
Upright Row Barbell,SHOULDER,Barbell,Intermediate,Pulls resistance toward the torso to build back thickness and improve upper-body pulling strength.,Deltoids,"Trapezius, rotator cuff"
Leg Adduction,LEGS,Mixed,Beginner,Performs a controlled resistance movement to strengthen the targeted muscle group and improve muscular coordination.,"Quadriceps, glutes","Hamstrings, calves"
Leverage Squat Machine,LEGS,Machine,Advanced,Bends the hips and knees under load to build lower-body strength and functional power.,"Quadriceps, glutes","Hamstrings, calves"
Dumbbell Deadlift,LEGS,Dumbbell,Intermediate,Performs a controlled resistance movement to strengthen the targeted muscle group and improve muscular coordination.,"Quadriceps, glutes","Hamstrings, calves"
Lying Leg Curl Machine,LEGS,Machine,Beginner,Flexes the elbow against resistance to build arm strength and biceps size through controlled contraction.,"Quadriceps, glutes","Hamstrings, calves"
Leg Press,LEGS,Mixed,Beginner,"Pushes weight away using the legs to develop quadriceps, glutes, and overall leg strength.","Quadriceps, glutes","Hamstrings, calves"
Trap Bar Deadlift,LEGS,Barbell,Advanced,Performs a controlled resistance movement to strengthen the targeted muscle group and improve muscular coordination.,"Quadriceps, glutes","Hamstrings, calves"
Squat Smith Machine,LEGS,Machine,Advanced,Bends the hips and knees under load to build lower-body strength and functional power.,"Quadriceps, glutes","Hamstrings, calves"
Box Jump,LEGS,Mixed,Intermediate,Performs a controlled resistance movement to strengthen the targeted muscle group and improve muscular coordination.,"Quadriceps, glutes","Hamstrings, calves"
Bulgarian Squats,LEGS,Mixed,Intermediate,Bends the hips and knees under load to build lower-body strength and functional power.,"Quadriceps, glutes","Hamstrings, calves"
Leg Abductors,LEGS,Mixed,Beginner,Performs a controlled resistance movement to strengthen the targeted muscle group and improve muscular coordination.,"Quadriceps, glutes","Hamstrings, calves"
Romanian Deadlift,LEGS,Mixed,Advanced,Performs a controlled resistance movement to strengthen the targeted muscle group and improve muscular coordination.,"Quadriceps, glutes","Hamstrings, calves"
Barbell Lunges,LEGS,Barbell,Advanced,Performs a controlled resistance movement to strengthen the targeted muscle group and improve muscular coordination.,"Quadriceps, glutes","Hamstrings, calves"
Hip Thrust,LEGS,Mixed,Intermediate,Performs a controlled resistance movement to strengthen the targeted muscle group and improve muscular coordination.,"Quadriceps, glutes","Hamstrings, calves"
Calf Press on Leg Press,LEGS,Mixed,Intermediate,"Pushes weight away using the legs to develop quadriceps, glutes, and overall leg strength.","Quadriceps, glutes","Hamstrings, calves"
Goblet Squat,LEGS,Mixed,Beginner,Bends the hips and knees under load to build lower-body strength and functional power.,"Quadriceps, glutes","Hamstrings, calves"
Leg Press,LEGS,Mixed,Beginner,"Pushes weight away using the legs to develop quadriceps, glutes, and overall leg strength.","Quadriceps, glutes","Hamstrings, calves"
Standing Calf Raise Machine,LEGS,Machine,Beginner,Performs a controlled resistance movement to strengthen the targeted muscle group and improve muscular coordination.,"Quadriceps, glutes","Hamstrings, calves"
Barbell Bench Press,CHEST,Barbell,Advanced,Presses weight away from the chest while lying on a bench to develop chest strength and upper-body pushing power.,Pectoralis major,"Anterior deltoids, triceps"
