Exercise Name,Muscle Group,Equipment Type,Level,Description
Ab Crunch Machine,Core,Machine,Beginner,"Contract core to lift shoulders off the floor, then lower under control."
Ab Wheel,Core,Mixed,Beginner,Perform the movement through a controlled full range of motion targeting the listed muscle group.
Alternating Dumbbell Press,Chest,Dumbbell,Intermediate,"Lower weight under control to chest or shoulders, then press upward until arms are extended."
Arnold Press,Chest,Mixed,Intermediate,"Lower weight under control to chest or shoulders, then press upward until arms are extended."
Assisted Dip,Triceps,Mixed,Beginner,"Lower body by bending elbows, then press back up until arms are straight."
Assisted Pull-Up Machine,Back,Machine,Beginner,"Hang from bar, pull chest toward bar, then lower with control."
Back Extension,Triceps,Mixed,Beginner,"Extend joint against resistance, then return slowly to start position."
Back Reverse Flys,Chest,Mixed,Beginner,"Move arms in wide arc to bring hands together, then return slowly."
Barbell Bench Press,Chest,Barbell,Advanced,"Lower weight under control to chest or shoulders, then press upward until arms are extended."
Barbell Lunges,Legs,Barbell,Advanced,"Step forward or backward, lower rear knee toward floor, then push back to start."
Barbell Overhead Press,Chest,Barbell,Advanced,"Lower weight under control to chest or shoulders, then press upward until arms are extended."
Bench Dip,Chest,Mixed,Beginner,"Lower weight under control to chest or shoulders, then press upward until arms are extended."
Bent Over 1 Arm Rows,Back,Mixed,Intermediate,"Pull weight toward torso by driving elbows back, then return with control."
Bent Over Dumbbell Rows,Back,Dumbbell,Intermediate,"Pull weight toward torso by driving elbows back, then return with control."
Bicep Curl Machine,Biceps,Machine,Beginner,"Hold weight with arms extended, curl by bending elbows, then lower slowly."
Box Jump,Full Body,Mixed,Beginner,Perform the movement through a controlled full range of motion targeting the listed muscle group.
Bulgarian Split Squat,Legs,Mixed,Beginner,"Stand with feet shoulder-width apart, lower hips by bending knees, then drive through heels to stand."
Bulgarian Squats,Legs,Mixed,Beginner,"Stand with feet shoulder-width apart, lower hips by bending knees, then drive through heels to stand."
Cable Cross Over,Core,Cable,Beginner,Perform the movement through a controlled full range of motion targeting the listed muscle group.
Cable Crossover,Core,Cable,Beginner,Perform the movement through a controlled full range of motion targeting the listed muscle group.
Cable Crunch,Core,Cable,Beginner,"Contract core to lift shoulders off the floor, then lower under control."
Cable Face Pull,Back,Cable,Beginner,Perform the movement through a controlled full range of motion targeting the listed muscle group.
Cable Lat Pulldown,Back,Cable,Beginner,Perform the movement through a controlled full range of motion targeting the listed muscle group.
Cable Lateral Raise,Back,Cable,Beginner,"Lift weight or limbs to target muscle, pause briefly, then lower slowly."
